Persona Name,Last delivered date (impr>0),Overall impressions till date,Key Value(s) (Persona ID),Days since last delivered,Status / Note,Recommendation
Health-Conscious Viewer,,0,1314,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Refined Tech Pioneer,2026-06-02,26752887,1269,1,Active,Keep - active
Early Tech Adopter,2026-06-02,74608201,"238, 1268",1,Active,Keep - active
Lexus Innovative Collectivists,2026-06-02,43943928,1260,1,Active,Keep - active
Connecting Discoverer,2026-06-02,49935832,1256,1,Active,Keep - active
Preserving Researcher,2026-06-02,8107783,1255,1,Active,Keep - active
Culturally Curious Indulger,2026-06-02,3842987,1208,1,Active,Keep - active
Innovation Executive,2026-06-02,136520789,1207,1,Active,Keep - active
Mystery Enthusiast,2026-06-02,14468034,1205,1,Active,Keep - active
Enterprise IT Decision Maker,2026-06-02,155487251,"1162, 1161, 1160",1,Active,Keep - active
Enterprise IT Decision Maker,2026-06-02,155487251,"1162, 1161, 1160",1,Active,Keep - active
Enterprise IT Decision Maker,2026-06-02,155487251,"1162, 1161, 1160",1,Active,Keep - active
Budget Fashionista,,0,1159,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Policy Leader,2026-06-02,4716972,1112,1,Active,Keep - active
Finance Influencer,2026-06-02,3611887,1111,1,Active,Keep - active
"CIOs, CEO, CHROs",2026-06-02,6689120,1110,1,Active,Keep - active
Higher Education Leader,,0,1108,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Small Business Owner,2026-06-02,1544569,1086,1,Active,Keep - active
Gadget Enthusiast,,0,1080,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Adventure Seeker,2026-06-02,1812289,1056,1,Active,Keep - active
Wealthy Investor,2026-06-02,4334164,"1670, 1027",1,Active,Keep - active
Financial Analyst,,0,1026,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Budget-Conscious Parent,2026-06-02,2145027,941,1,Active,Keep - active
Active Citizen Parent,2026-06-02,3910946,940,1,Active,Keep - active
Community-Focused Teacher,2026-06-02,1811243,939,1,Active,Keep - active
Affluent Professional,2026-06-02,8219172,930,1,Active,Keep - active
Affluent Investor,2026-06-02,25105048,"1645, 929",1,Active,Keep - active
High-Profile Investor,2026-06-02,4120303,909,1,Active,Keep - active
Food Enthusiast,,0,905,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
NGO Leader,2026-06-02,2515184,846,1,Active,Keep - active
African Leader,2026-06-02,11407262,845,1,Active,Keep - active
Health Conscious Adult,,0,838,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
AI Platform User,2026-06-02,53439303,724,1,Active,Keep - active
Empowered Midlife Woman,2026-06-02,16509021,721,1,Active,Keep - active
Fitness Enthusiast,2026-06-01,11981726,687,2,Active,Keep - active
Financial Wellness Seeker,2026-06-02,55593628,684,1,Active,Keep - active
Sustainability Leader,2026-06-02,35955070,667,1,Active,Keep - active
Latino Executive,2026-06-02,8021212,654,1,Active,Keep - active
Corporate Decarbonizer,2026-06-02,4937998,650,1,Active,Keep - active
Sustainable Entrepreneur,2026-06-02,3681701,649,1,Active,Keep - active
Nature Advocate,2026-06-02,7669499,648,1,Active,Keep - active
Climate Enthusiast,2026-06-02,65555913,647,1,Active,Keep - active
Tennis Enthusiast,2026-06-02,5272350,645,1,Active,Keep - active
Cruise Intender,2026-06-02,538353,644,1,Active,Keep - active
Affluent Individual,2026-06-02,16442611,640,1,Active,Keep - active
Tax-Savvy Entrepreneur,,0,634,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Frontline & Essential Workers,2026-06-02,10138396,564,1,Active,Keep - active
Eco-Conscious Investor,2026-06-02,7378550,553,1,Active,Keep - active
R&D Decision-Maker,2026-06-02,35980886,552,1,Active,Keep - active
Supply Chain Decision-Maker,2026-06-02,4854962,550,1,Active,Keep - active
